"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.649479542E0,2.337389374E0,2.244133301E0,3.607498169E-2
1.659539542E0,1.997895355E0,2.207908630E0,-7.195536804E-1
1.669600542E0,1.622176666E0,1.981429596E0,-1.353635101E0
1.679661542E0,8.693920898E-1,1.519041138E0,-2.373015289E0
1.689721542E0,2.727328491E-1,1.679657135E0,-2.202070770E0
1.699782542E0,1.182540894E-1,1.368454285E0,-2.939138031E0
1.709843542E0,1.300794983E-1,6.972500610E-1,-4.184248810E0
1.719903542E0,-2.294728088E-1,-1.544787598E-1,-5.281167755E0
1.729964542E0,-8.125103760E-1,-9.246272278E-1,-6.803502045E0
1.740024750E0,-1.185085602E0,-1.062490540E0,-8.592431946E0
1.750084750E0,-1.455423431E0,-1.016087036E0,-9.997709656E0
1.760145750E0,-1.102906494E0,-8.087681580E-1,-1.023601410E1
1.770206750E0,3.546125793E-1,-2.068698120E-1,-9.071735229E0
1.780266750E0,2.155218201E0,4.498146057E-1,-7.229965210E0
1.790327750E0,3.505709839E0,7.294331360E-1,-5.426365814E0
1.800388750E0,4.087250519E0,9.274713135E-1,-3.187321930E0
1.810448750E0,4.954097900E0,1.096170502E0,7.885601807E-1
1.820509750E0,3.885769501E0,1.132844238E0,1.736389160E-1
1.830570750E0,2.377505951E0,8.614585876E-1,-9.098080444E-1
1.840631750E0,1.086889801E0,3.080593872E-1,-6.902146912E-1
1.850691750E0,-2.993774414E-4,3.317102051E-1,-1.836381226E0
1.860752750E0,-2.610571289E-1,4.998106384E-1,-3.093317413E0
1.870813750E0,4.146377563E-2,3.823049927E-1,-3.138972473E0
1.880873750E0,1.411115570E0,7.535330200E-1,-1.527124329E0
1.890934750E0,2.955753479E0,9.322613525E-1,-3.441343689E-1
1.900995750E0,4.179608459E0,1.331032104E0,3.008743286E-2
1.911055750E0,5.010530548E0,1.747466125E0,1.733395386E-1
1.921116750E0,4.784949646E0,1.685794373E0,7.457492065E-1
1.931177750E0,3.569327545E0,1.001417542E0,8.755293274E-1
1.941237750E0,2.550546112E0,1.496887207E-3,4.911286926E-1
1.951298750E0,1.962568817E0,-1.167422333E0,1.510359192E-1
1.961359750E0,1.905836792E0,-2.096390533E0,-2.083666992E-1
1.971419750E0,2.759361877E0,-2.660717010E0,-3.897894287E-1
1.981480750E0,4.759053497E0,-2.213596802E0,1.657054138E-1
1.991541750E0,7.117099915E0,-8.726852417E-1,1.069376221E0
2.001601750E0,9.126371613E0,3.987707520E-1,1.879940643E0
2.011662750E0,1.006252487E1,8.767268372E-1,2.988385620E0
2.021723750E0,1.004770569E1,4.963677979E-1,3.818559265E0
2.031784750E0,1.033136581E1,2.800675964E-1,4.092489624E0
2.041844750E0,1.108340195E1,4.004173279E-1,4.000431061E0
2.051905750E0,1.188588318E1,1.731898499E-1,3.834276581E0
2.061966750E0,1.240425522E1,-9.222322083E-1,3.632945251E0
2.072026750E0,1.300794983E1,-1.676064606E0,3.907474365E0
2.082087750E0,1.414468597E1,-1.218466187E0,5.733676758E0
2.092148750E0,1.495016098E1,-1.042132874E0,7.546856232E0
2.102208750E0,1.550775146E1,-2.193538513E0,8.591683502E0
2.112269750E0,1.653132294E1,-1.949845276E0,1.151136200E1
2.122330750E0,1.868489456E1,-2.336640930E-1,1.330837509E1
2.132390750E0,2.016037628E1,2.713856506E-1,1.437236252E1
2.142451750E0,1.995979340E1,-9.192384338E-1,1.494207779E1
2.152512750E0,1.920251816E1,-2.023641815E0,1.416085236E1
2.162573750E0,1.888413025E1,-2.112407227E0,1.406909317E1
2.172633750E0,1.878458725E1,-1.801653442E0,1.456516159E1
2.182694750E0,1.831321747E1,-2.503693542E0,1.398242340E1
2.192755750E0,1.762060776E1,-3.353326721E0,1.355775650E1
2.202815750E0,1.734413269E1,-3.138074341E0,1.375205246E1
2.212876750E0,1.719399490E1,-2.505190430E0,1.329789688E1
2.222937750E0,1.664254166E1,-2.293530579E0,1.216490295E1
2.232997750E0,1.588631424E1,-2.642754364E0,1.084719315E1
2.243058750E0,1.492680954E1,-3.046015778E0,9.767638092E0
2.253119750E0,1.379216904E1,-3.054098969E0,8.936865692E0
2.263179750E0,1.275228149E1,-3.024011536E0,7.805218964E0
2.273240750E0,1.214469498E1,-2.993924103E0,6.770420837E0
2.283301750E0,1.209290268E1,-2.971171417E0,6.019582214E0
2.293361750E0,1.214304840E1,-3.038980408E0,5.519023132E0
2.303422750E0,1.204784637E1,-3.198548584E0,5.061873779E0
2.313483750E0,1.194980026E1,-3.293900299E0,4.558919678E0
2.323544750E0,1.182316360E1,-3.242257690E0,4.192182312E0
2.333604750E0,1.130254623E1,-3.231779480E0,4.005370789E0
2.343665750E0,1.063283890E1,-3.118614807E0,3.752097473E0
2.353726750E0,1.086231171E1,-2.413880310E0,2.726130981E0
2.363786750E0,1.080138840E1,-1.710493011E0,2.384840698E0
2.373847750E0,1.071876022E1,-1.063837738E0,2.493365021E0
2.383908750E0,1.060424835E1,-6.137237549E-1,2.739752655E0
2.393968750E0,9.986183624E0,-8.390052795E-1,2.813848572E0
2.404029750E0,8.893156586E0,-1.846560059E0,2.698139191E0
2.414090750E0,8.274343414E0,-2.516417084E0,2.462978210E0
2.424150750E0,8.759334869E0,-2.353555756E0,2.357597351E0
2.434211750E0,9.571845245E0,-2.125280457E0,2.414628754E0
2.444272750E0,1.028316605E1,-2.345173187E0,2.811752930E0
2.454333750E0,1.055110886E1,-3.100352783E0,3.596720581E0
2.464393750E0,1.069974976E1,-4.064198456E0,4.191882935E0
2.474454750E0,1.103430405E1,-4.997956696E0,4.560416565E0
2.484515750E0,1.102053268E1,-6.126310272E0,5.027445374E0
2.494575750E0,1.086261108E1,-6.718927917E0,5.417833557E0
2.504636750E0,1.050799850E1,-6.888525238E0,5.421426086E0
2.514697750E0,9.829459534E0,-7.086862793E0,4.927153931E0
2.524757750E0,9.279652863E0,-7.392227783E0,3.948638763E0
2.534818750E0,9.030271454E0,-7.965385895E0,3.138224030E0
2.544879750E0,8.830287323E0,-8.876690826E0,3.027154999E0
2.554939750E0,8.699010315E0,-9.240284729E0,2.735561371E0
2.565000750E0,8.541837158E0,-9.277257843E0,2.857707367E0
2.575061750E0,8.221802673E0,-9.647737427E0,2.800226898E0
2.585122750E0,7.719147949E0,-9.997559967E0,2.307451630E0
2.595182750E0,7.211254120E0,-1.003483246E1,1.994602203E0
2.605243750E0,6.879992981E0,-9.810748444E0,1.667682037E0
2.615304750E0,7.064708862E0,-9.514364777E0,1.863774261E0
2.625364750E0,7.604037323E0,-8.860674133E0,2.851719818E0
2.635425750E0,7.866890717E0,-7.925269318E0,3.581751709E0
2.645486750E0,7.847281494E0,-6.714287567E0,3.831731873E0
2.655546750E0,7.973618774E0,-5.681435394E0,3.566633148E0
2.665607750E0,8.297545166E0,-5.110372925E0,2.785108337E0
2.675668750E0,8.284522247E0,-4.917124786E0,1.811981964E0
2.685728750E0,7.919132080E0,-4.948559418E0,9.415420532E-1
2.695789750E0,7.639663239E0,-5.204227753E0,6.718029785E-1
2.705850750E0,7.683971100E0,-5.504054260E0,8.762777710E-1
2.715911750E0,7.971373444E0,-5.411097565E0,1.312919769E0
2.725971750E0,7.609875183E0,-5.146148529E0,1.492995300E0
2.736032750E0,8.111931152E0,-5.099595337E0,1.690434723E0
2.746094375E0,8.428073730E0,-5.171445923E0,1.856289825E0
2.756154375E0,8.246800690E0,-5.191803589E0,1.879641266E0
2.766215375E0,7.959847412E0,-5.347180481E0,2.122586060E0
2.776276375E0,7.913892975E0,-5.625002747E0,2.454595642E0
2.786336375E0,7.941286011E0,-5.940696259E0,2.469564514E0
2.796397375E0,7.662415924E0,-6.113586731E0,2.449955292E0
2.806458375E0,7.084318085E0,-6.153553619E0,2.204914856E0
2.816518375E0,6.590944061E0,-6.102360077E0,1.982178040E0
2.826579375E0,6.156846771E0,-5.829178162E0,1.542841644E0
2.836640375E0,5.735473022E0,-5.489235077E0,9.494755554E-1
2.846701375E0,5.445226593E0,-5.134323120E0,5.435197449E-1
2.856761375E0,5.339696045E0,-4.807103577E0,3.625460815E-1
2.866822375E0,5.358556824E0,-4.485721893E0,4.394860840E-1
2.876883375E0,5.447621613E0,-4.288432159E0,7.608677673E-1
2.886943375E0,5.589526520E0,-4.417912903E0,1.090781708E0
2.897004375E0,5.764213257E0,-4.788542175E0,1.572629700E0
2.907065375E0,6.026467896E0,-4.848717041E0,2.316732330E0
2.917125375E0,5.899980927E0,-4.766987000E0,2.750380554E0
2.927186375E0,5.674699402E0,-4.788242798E0,2.823428650E0
2.937247375E0,5.617967377E0,-4.975952454E0,2.670746155E0
2.947307375E0,5.505551147E0,-5.115462341E0,2.367925873E0
2.957368375E0,5.390590210E0,-5.020859070E0,1.948348389E0
2.967429375E0,5.498066711E0,-4.832550659E0,1.531465302E0
2.977489375E0,5.831872559E0,-4.830904083E0,1.130598907E0
2.987550375E0,6.273903351E0,-4.999004517E0,1.036744080E0
2.997611375E0,6.566095734E0,-5.140460358E0,1.445244598E0
3.007672375E0,6.915319519E0,-5.150040436E0,1.827549591E0
3.017732375E0,7.244634705E0,-5.204527130E0,2.277064819E0
3.027793375E0,7.478598175E0,-5.208119659E0,2.609673157E0
3.037854375E0,7.649692383E0,-5.429209900E0,2.761607208E0
3.047914375E0,7.467970276E0,-5.743107147E0,2.938688965E0
3.057975375E0,7.176226959E0,-5.773943024E0,2.945125580E0
3.068036375E0,7.275320892E0,-5.707331543E0,2.731519775E0
3.078096375E0,7.721692657E0,-5.814209290E0,2.467319183E0
3.088157375E0,8.674461365E0,-6.095923462E0,2.462529144E0
3.098218375E0,9.655221863E0,-6.245312805E0,3.081941071E0
3.108278375E0,9.988129578E0,-5.912405090E0,3.841910706E0
3.118339375E0,1.001926483E1,-5.583389282E0,4.334087219E0
3.128400375E0,1.012284943E1,-5.413642273E0,4.436324615E0
3.138461375E0,1.000504440E1,-5.262157288E0,4.211492157E0
3.148521375E0,1.004995102E1,-5.109624481E0,3.933220825E0
3.158582375E0,1.032193542E1,-5.010530548E0,3.693718872E0
3.168643375E0,1.008452911E1,-4.833748169E0,3.402125244E0
3.178703375E0,9.644743652E0,-4.490511932E0,2.864293671E0
3.188764375E0,9.541907501E0,-4.317172394E0,2.155816956E0
3.198825375E0,9.616602173E0,-4.519401855E0,1.444496155E0
3.208885375E0,9.536518707E0,-4.937931519E0,1.308429108E0
3.218946375E0,9.702224121E0,-5.401517487E0,1.922601929E0
3.229007375E0,9.730215912E0,-5.755381622E0,3.064577179E0
3.239067375E0,9.537416840E0,-5.547763367E0,4.078867950E0
3.249128375E0,9.286688232E0,-5.179978180E0,4.825964355E0
3.259189375E0,9.044042816E0,-4.978646851E0,5.244943085E0
3.269250375E0,8.809779968E0,-5.102439423E0,5.191504211E0
3.279310375E0,8.574618988E0,-5.547463989E0,4.765190735E0
3.289371375E0,8.475674744E0,-5.846841431E0,4.083208923E0
3.299432375E0,8.571325836E0,-6.173911285E0,3.082090759E0
3.309492375E0,8.713380432E0,-6.576723633E0,2.067201233E0
3.319553375E0,8.698112183E0,-6.843169556E0,1.608854370E0
3.329614375E0,8.633446655E0,-6.848258972E0,1.747615814E0
3.339674375E0,8.673114166E0,-6.679709473E0,1.924847260E0
3.349735375E0,8.618926849E0,-6.467750244E0,2.007625122E0
3.359796375E0,8.413404236E0,-6.074817352E0,2.138602753E0
3.369857375E0,7.883655853E0,-5.482648773E0,2.172881470E0
3.379917375E0,7.173382874E0,-5.135221252E0,1.923350372E0
3.389978375E0,6.571035461E0,-5.011728058E0,1.510957947E0
3.400039375E0,5.992488556E0,-4.963378601E0,1.168021088E0
3.410099375E0,5.361999664E0,-4.930297394E0,9.282197571E-1
3.420160375E0,4.902155914E0,-4.856650543E0,7.875123596E-1
3.430221375E0,4.584366760E0,-4.832251282E0,6.007008362E-1
3.440281375E0,4.327351227E0,-4.853357391E0,2.230361938E-1
3.450342375E0,4.174519043E0,-4.903652802E0,-2.888992310E-1
3.460403375E0,4.194876709E0,-4.963677979E0,-7.412585449E-1
3.470463375E0,4.433929596E0,-5.015619965E0,-1.204245758E0
3.480524375E0,4.749323730E0,-4.895569611E0,-1.334474945E0
3.490585375E0,4.982838135E0,-4.644990692E0,-9.876461792E-1
3.500646375E0,5.174589386E0,-4.524640961E0,-2.751278687E-1
3.510706375E0,5.289700012E0,-4.794829102E0,5.306465149E-1
3.520767375E0,5.485193481E0,-5.335055695E0,1.312620392E0
3.530828375E0,5.814808044E0,-5.922733612E0,2.145338745E0
3.540888375E0,6.195017395E0,-6.459816742E0,2.871628418E0
3.550949375E0,6.743177490E0,-6.955286407E0,3.490890656E0
3.561010375E0,7.314090271E0,-7.536078644E0,3.801195374E0
3.571070375E0,7.893984375E0,-8.229736176E0,3.689976654E0
3.581131375E0,8.376431122E0,-8.819509735E0,3.411705322E0
3.591192375E0,8.624465332E0,-9.156908112E0,3.249293060E0
3.601252375E0,8.697363739E0,-9.240135040E0,3.287463684E0
3.611313375E0,8.692124634E0,-9.189390564E0,3.492686920E0
3.621374375E0,8.932824097E0,-9.283395081E0,3.723656616E0
3.631435375E0,9.286538544E0,-9.668843536E0,3.913761292E0
3.641495375E0,9.366472321E0,-9.816137238E0,4.198469238E0
3.651556375E0,8.991352386E0,-9.362580414E0,4.679419098E0
3.661617375E0,8.498876495E0,-8.723559265E0,5.146747284E0
3.671677375E0,8.064030762E0,-8.251291351E0,5.457351379E0
3.681738375E0,7.644303589E0,-7.961194611E0,5.417983246E0
3.691799375E0,7.254214783E0,-7.925419006E0,5.091661835E0
3.701859375E0,7.319029999E0,-7.857909393E0,4.798122253E0
3.711920375E0,7.440577240E0,-7.426207123E0,4.760550385E0
3.721981375E0,7.073540497E0,-6.896758118E0,4.573439484E0
3.732042375E0,6.834487610E0,-6.569837952E0,4.001329193E0
3.742101875E0,7.010970612E0,-6.180497589E0,3.352278900E0
3.752162875E0,7.309300232E0,-5.641318817E0,2.920576630E0
3.762223875E0,7.577542419E0,-5.237009583E0,2.822231140E0
3.772283875E0,8.045020294E0,-5.159770203E0,2.781216431E0
3.782344875E0,8.689130859E0,-5.154830475E0,2.531236267E0
3.792405875E0,9.274413757E0,-4.925956421E0,2.262395325E0
3.802465875E0,9.711504822E0,-4.605921936E0,2.137105865E0
3.812526875E0,9.774074707E0,-4.368815002E0,2.127226410E0
3.822587875E0,9.447304230E0,-4.259242859E0,2.062710571E0
3.832648875E0,8.977880402E0,-4.314927063E0,1.899250488E0
3.842708875E0,8.583001556E0,-4.539310455E0,1.755100250E0
3.852769875E0,8.227041779E0,-4.734803925E0,1.784439240E0
3.862830875E0,7.830965424E0,-4.701872406E0,1.893562317E0
3.872890875E0,7.378007355E0,-4.557123413E0,2.004182281E0
3.882951875E0,6.930438080E0,-4.458628235E0,2.022144928E0
3.893012875E0,6.584208069E0,-4.306095428E0,1.880838776E0
3.903072875E0,6.438261566E0,-4.195475464E0,1.703607330E0
3.913133875E0,6.510261841E0,-4.110601959E0,1.675465851E0
3.923194875E0,6.416107635E0,-3.903133392E0,1.731449432E0
3.933255875E0,6.205794983E0,-3.647614746E0,1.710792389E0
3.943315875E0,6.144572296E0,-3.493585052E0,1.547032928E0
3.953376875E0,6.083798676E0,-3.504063263E0,1.443148956E0
3.963437875E0,5.923631744E0,-3.565884705E0,1.450184326E0
3.973497875E0,6.138734436E0,-3.585793304E0,1.431622925E0
3.983558875E0,6.406377869E0,-3.593427429E0,1.454525299E0
3.993619875E0,6.511159973E0,-3.814517670E0,1.416055298E0
4.003679875E0,6.579268341E0,-4.165537720E0,1.236428833E0
4.013740875E0,6.846911774E0,-4.548142090E0,1.161135406E0
4.023801875E0,7.354805603E0,-4.785548401E0,1.479074249E0
4.033862875E0,7.721692657E0,-4.768334198E0,2.063159637E0
4.043922875E0,7.936495972E0,-4.686903534E0,2.534379730E0
4.053983875E0,8.178243256E0,-4.664150848E0,2.896925812E0
4.064044875E0,8.380023651E0,-4.580923920E0,3.107088776E0
4.074104875E0,8.597221985E0,-4.551135864E0,3.138373718E0
4.084165875E0,8.653504944E0,-4.667893066E0,3.076402588E0
4.094226875E0,8.544082489E0,-4.972509613E0,2.862048340E0
4.104286875E0,8.385861511E0,-5.327421570E0,2.662662964E0
4.114347875E0,8.376730499E0,-5.431754608E0,2.524500275E0
4.124408875E0,8.592282257E0,-5.355113983E0,2.471510468E0
4.134469875E0,8.779692535E0,-5.425317993E0,2.546504517E0
4.144529875E0,8.787925415E0,-5.573210449E0,2.579136658E0
4.154590875E0,8.698860626E0,-5.820795593E0,2.463576965E0
4.164651875E0,8.671018524E0,-6.188281403E0,2.427651672E0
4.174711875E0,8.662486267E0,-6.651717682E0,2.612966309E0
