"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.727868000E0,4.789739685E0,-2.919229431E0,1.423988800E0
1.737928000E0,4.828359375E0,-2.959795074E0,9.876461792E-1
1.747988000E0,4.541855164E0,-3.278632050E0,4.953199768E-1
1.758048000E0,4.190236359E0,-3.554807739E0,6.885681152E-2
1.768108000E0,3.938459930E0,-3.756588135E0,-1.428030396E-1
1.778168000E0,3.987258453E0,-3.731290741E0,-1.923500061E-1
1.788228000E0,4.425397339E0,-3.566034393E0,-2.598596191E-1
1.798288000E0,5.049150238E0,-3.414848785E0,-2.951861572E-1
1.808348000E0,5.583239594E0,-3.045117645E0,-4.432283020E-1
1.818408000E0,6.224206696E0,-2.527793427E0,-7.689509583E-1
1.828468000E0,6.991361389E0,-2.589764557E0,-1.414408722E0
1.838528000E0,7.326813812E0,-3.219055939E0,-1.228046265E0
1.848588000E0,7.405999146E0,-3.573069763E0,-8.232879639E-1
1.858648000E0,7.204218750E0,-3.725752258E0,-5.414241028E-1
1.868708000E0,6.886878662E0,-3.876339111E0,-1.773811340E-1
1.878768000E0,6.712191925E0,-4.082161102E0,-1.068777466E-1
1.888828000E0,6.751859436E0,-4.176315308E0,-2.604583740E-1
1.898888000E0,7.102430420E0,-4.176165619E0,-3.830534363E-1
1.908948000E0,7.744744720E0,-3.746259613E0,-3.981719971E-1
1.919008000E0,8.696315918E0,-3.224893799E0,-3.092568970E-1
1.929068000E0,9.577683105E0,-2.980003052E0,-3.622467041E-1
1.939128000E0,1.013826736E1,-3.116369476E0,-7.295828247E-1
1.949188000E0,1.027987289E1,-3.848946075E0,-1.184786224E0
1.959248000E0,1.029798523E1,-4.471351776E0,-1.334025879E0
1.969308000E0,1.059601547E1,-4.990322571E0,-1.093476105E0
1.979368000E0,1.119102814E1,-5.519621887E0,-8.063731384E-1
1.989428000E0,1.183229462E1,-5.871390381E0,-3.537144470E-1
1.999488000E0,1.239781860E1,-6.008505249E0,1.405577087E-1
2.009548000E0,1.284014877E1,-6.109994202E0,5.574407959E-1
2.019608000E0,1.301618271E1,-6.196963348E0,1.097817078E0
2.029668000E0,1.304417450E1,-6.201154633E0,1.788780212E0
2.039728000E0,1.315674042E1,-6.251150665E0,2.281705170E0
2.049788000E0,1.344713654E1,-6.328090668E0,2.539319458E0
2.059848000E0,1.356464218E1,-6.336323547E0,2.552492065E0
2.069908000E0,1.354548203E1,-6.260281677E0,1.972747650E0
2.079968000E0,1.315928513E1,-6.092330933E0,1.219963074E0
2.090028000E0,1.245320343E1,-5.706882477E0,4.049079895E-1
2.100088000E0,1.168949158E1,-5.358107758E0,-2.953358459E-1
2.110148000E0,1.090826614E1,-5.125790863E0,-7.762857056E-1
2.120208000E0,1.028720764E1,-4.876708832E0,-9.211843872E-1
2.130268000E0,9.892029419E0,-4.583768005E0,-9.559121704E-1
2.140328000E0,9.843530273E0,-4.162094879E0,-6.069877625E-1
2.150388000E0,9.948312378E0,-3.764072571E0,-1.652563477E-1
2.160448000E0,9.915380859E0,-3.676654358E0,1.317260742E-2
2.170508000E0,9.807455292E0,-3.843257904E0,2.649490356E-1
2.180569000E0,9.756261749E0,-3.942800903E0,5.849835205E-1
2.190629000E0,9.644144897E0,-3.773952026E0,8.285270691E-1
2.200689000E0,9.401050415E0,-3.608695679E0,9.351054382E-1
2.210749000E0,9.178163910E0,-3.838018799E0,8.982820129E-1
2.220809000E0,8.866362305E0,-4.311184845E0,7.101232910E-1
2.230869000E0,8.553213501E0,-4.736450500E0,5.763015747E-1
2.240929000E0,8.144712982E0,-5.040318604E0,5.978567505E-1
2.250988667E0,7.767946472E0,-5.263055420E0,6.810836792E-1
2.261048667E0,7.528145142E0,-5.301974487E0,8.550219727E-1
