"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.847329000E0,-2.697764635E-1,-2.147353888E-1,3.314541653E-2
1.857389000E0,-4.398941398E-1,7.665349403E-4,1.269885600E-1
1.867449000E0,-5.016250014E-1,1.465957463E-1,2.725633979E-1
1.877509000E0,-4.833900630E-1,1.586105973E-1,4.428997040E-1
1.887569000E0,-4.137195051E-1,6.062657759E-2,6.191146374E-1
1.897629000E0,-3.053480089E-1,-1.080037206E-1,7.745801210E-1
1.907689000E0,-2.049274147E-1,-2.769877613E-1,8.616391420E-1
1.917749000E0,-1.298188120E-1,-3.353349566E-1,8.876885772E-1
1.927809000E0,-1.145035625E-1,-3.106836975E-1,8.771700263E-1
1.937869000E0,-1.488538235E-1,-3.140035868E-1,8.579936624E-1
1.947929000E0,-2.409307957E-1,-3.483568430E-1,8.993308544E-1
1.957989000E0,-3.308955729E-1,-3.827254772E-1,9.922624230E-1
1.968049000E0,-3.978791237E-1,-4.217301309E-1,1.090559721E0
1.978109000E0,-4.647460580E-1,-4.367178679E-1,1.187652946E0
1.988169000E0,-5.187366009E-1,-4.119326174E-1,1.260435224E0
1.998229000E0,-5.640904903E-1,-3.717239499E-1,1.298383474E0
2.008289000E0,-5.934351087E-1,-3.231881261E-1,1.304519296E0
2.018349000E0,-5.747706294E-1,-2.688383460E-1,1.296877027E0
2.028409000E0,-4.752452374E-1,-1.885685921E-1,1.281883001E0
2.038469000E0,-3.090898097E-1,-8.788858354E-2,1.240889549E0
2.048529000E0,-8.635703474E-2,4.865122214E-2,1.172775149E0
2.058589000E0,1.183321923E-1,2.437136620E-1,1.081352353E0
2.068649000E0,2.487076223E-1,4.673382342E-1,9.759622812E-1
2.078709000E0,2.920244634E-1,6.806204319E-1,8.808155060E-1
2.088769000E0,2.566632032E-1,8.460345864E-1,8.078998923E-1
2.098829000E0,1.690393388E-1,9.462389350E-1,7.583102584E-1
2.108889000E0,5.601258203E-2,1.010228157E0,7.449349761E-1
2.118949000E0,-7.519444078E-2,1.053189754E0,7.453613281E-1
2.129009000E0,-1.831263453E-1,1.044445753E0,7.343204618E-1
2.139069000E0,-2.267923355E-1,1.006422997E0,6.733572483E-1
2.149129000E0,-2.257107347E-1,9.395797849E-1,5.776979923E-1
2.159189000E0,-2.209002674E-1,8.433105350E-1,4.700396359E-1
2.169249000E0,-1.993023604E-1,7.332593799E-1,3.472270966E-1
2.179309000E0,-1.457520574E-1,6.157476306E-1,2.073711753E-1
2.189370000E0,-5.024037510E-2,4.805960655E-1,4.893609509E-2
2.199430000E0,6.553255767E-2,3.253985047E-1,-1.150776073E-1
2.209490000E0,1.439482123E-1,1.924312711E-1,-2.415123582E-1
2.219550000E0,1.527813822E-1,1.093025655E-1,-3.239758015E-1
2.229610000E0,1.275116354E-1,6.395134330E-2,-3.728341162E-1
2.239670000E0,9.494648874E-2,2.683406323E-2,-3.811559677E-1
2.249729667E0,5.521155521E-2,-2.548239380E-2,-3.712386191E-1
2.259789667E0,1.954223774E-2,-5.512417480E-2,-3.732522130E-1
2.269849667E0,-1.167733688E-2,-5.822598189E-2,-3.815133870E-1
2.279909667E0,-1.677432680E-3,-3.086839244E-2,-3.835451007E-1
2.289969667E0,3.748102114E-2,8.394205570E-2,-3.846125603E-1
2.300029667E0,4.082968086E-2,2.742350399E-1,-3.766877949E-1
2.310089667E0,-5.515350774E-2,4.682064950E-1,-3.923779726E-1
2.320149667E0,-2.228247970E-1,6.893072128E-1,-4.481530786E-1
2.330209667E0,-3.906208873E-1,9.055441618E-1,-4.711536765E-1
2.340269667E0,-5.348255038E-1,1.071199179E0,-4.304411411E-1
2.350329667E0,-6.310589910E-1,1.152559400E0,-3.482609391E-1
2.360389667E0,-6.574873924E-1,1.144220829E0,-2.510625124E-1
2.370449667E0,-5.985312462E-1,1.035938144E0,-1.673900336E-1
2.380509667E0,-4.793044627E-1,8.307104111E-1,-8.915515244E-2
2.390569667E0,-3.428019285E-1,5.510817766E-1,-3.147885576E-2
2.400629667E0,-2.067101300E-1,2.487781048E-1,1.806126907E-2
2.410689667E0,-1.142879948E-1,-4.836058989E-2,5.572592840E-2
2.420749667E0,-6.208897755E-2,-2.792207003E-1,9.170150757E-2
2.430809667E0,-3.213420883E-2,-4.395942688E-1,1.002373099E-1
2.440869667E0,-3.629539534E-2,-5.751595497E-1,8.358109742E-2
2.450929667E0,-6.218618527E-2,-6.403658390E-1,7.182633877E-2
2.460989667E0,-1.022534370E-1,-6.709541082E-1,5.820027366E-2
2.471049667E0,-1.351274997E-1,-6.209460497E-1,3.314258903E-2
2.481109667E0,-1.419944614E-1,-5.055601001E-1,-1.799090207E-2
2.491169667E0,-1.113818884E-1,-3.948294818E-1,-5.659464747E-2
2.501229667E0,-7.671392709E-2,-3.378740549E-1,-6.012307107E-2
2.511289667E0,-4.726407677E-2,-2.851088345E-1,-4.391725361E-2
2.521349667E0,7.079057395E-3,-2.654568255E-1,1.621639170E-2
2.531409667E0,7.893502712E-2,-2.664858103E-1,1.037690863E-1
2.541469667E0,1.749196053E-1,-2.915549576E-1,2.119690627E-1
2.551529667E0,3.015558720E-1,-3.649639785E-1,3.189635277E-1
2.561589667E0,4.339115322E-1,-4.594571888E-1,4.001020789E-1
2.571649667E0,5.553134680E-1,-6.388730407E-1,4.487194419E-1
2.581709667E0,7.246857285E-1,-8.665482402E-1,4.320033193E-1
2.591769667E0,9.659811854E-1,-1.122475743E0,4.037735164E-1
2.601829667E0,1.138650179E0,-1.371086597E0,4.329622984E-1
2.611889667E0,1.316153288E0,-1.298837066E0,4.265981615E-1
2.621950667E0,1.476979136E0,-8.965429068E-1,3.635102808E-1
2.632010667E0,1.537352443E0,-4.422518015E-1,2.803196907E-1
2.642070667E0,1.500205278E0,-3.990592808E-2,8.062574267E-2
2.652130667E0,1.398830056E0,3.767820299E-1,-2.496551722E-1
2.662190667E0,1.202391624E0,7.433663607E-1,-5.528272986E-1
2.672250667E0,1.012842655E0,1.018711805E0,-6.724036932E-1
2.682310667E0,1.092395544E0,1.231644630E0,-5.995646715E-1
2.692370667E0,1.541561723E0,1.270667911E0,-3.671074510E-1
2.702430667E0,2.207431793E0,1.028319716E0,-3.434968647E-3
2.712490667E0,2.755517006E0,5.581378937E-1,3.514392972E-1
2.722550667E0,2.951867819E0,9.997516125E-2,6.144168377E-1
2.732610667E0,2.798844576E0,-2.564087808E-1,8.137720823E-1
2.742670667E0,2.412198782E0,-5.292845368E-1,9.104048610E-1
2.752730667E0,1.980222106E0,-7.688245177E-1,7.836109400E-1
2.762790667E0,1.674501657E0,-9.573017359E-1,4.329136908E-1
2.772850667E0,1.517789245E0,-9.995967746E-1,-2.165738121E-2
2.782910667E0,1.411046505E0,-8.389199972E-1,-4.356769323E-1
2.792970667E0,1.292662263E0,-6.143553853E-1,-7.590190172E-1
2.803030667E0,1.158319831E0,-4.496556818E-1,-9.504038692E-1
2.813090667E0,9.676494598E-1,-3.121042252E-1,-1.009795070E0
2.823150667E0,7.075704932E-1,-1.878627092E-1,-9.984287620E-1
2.833210667E0,3.791694939E-1,-1.091918275E-1,-9.909486175E-1
2.843270667E0,-2.116459794E-2,-6.509334594E-2,-1.013430953E0
2.853330667E0,-4.418960214E-1,-5.910849199E-2,-1.065287471E0
2.863390667E0,-8.353306651E-1,-1.041292250E-1,-1.152104139E0
2.873450667E0,-1.187720418E0,-1.370606273E-1,-1.256072640E0
2.883510667E0,-1.432107210E0,-1.371599734E-1,-1.272255898E0
2.893570667E0,-1.577082396E0,-1.354678124E-1,-1.116400957E0
2.903630667E0,-1.694121122E0,-1.563456655E-1,-9.010842443E-1
2.913690667E0,-1.736626148E0,-2.295684665E-1,-7.196326852E-1
2.923750667E0,-1.663290858E0,-3.421871662E-1,-6.194405556E-1
2.933810667E0,-1.528958201E0,-5.111011863E-1,-6.094638705E-1
2.943870667E0,-1.413118124E0,-6.850964427E-1,-6.842123866E-1
2.953930667E0,-1.352176666E0,-7.514578700E-1,-8.344526291E-1
2.963990667E0,-1.360444427E0,-6.787138581E-1,-9.521515369E-1
2.974050667E0,-1.462060213E0,-5.263250470E-1,-1.009348273E0
2.984110667E0,-1.622566223E0,-2.941986322E-1,-1.072694778E0
2.994170667E0,-1.698836684E0,6.727100350E-3,-1.099354148E0
3.004230667E0,-1.562088609E0,3.327219784E-1,-1.006456733E0
3.014291667E0,-1.164686322E0,5.711062551E-1,-8.177992702E-1
3.024351667E0,-6.127489805E-1,7.025926113E-1,-5.973140001E-1
3.034411667E0,-1.888718572E-3,6.891580820E-1,-3.856869042E-1
3.044471667E0,3.679676354E-1,5.568407774E-1,-1.019119024E-1
3.054531667E0,4.079186916E-1,4.162781239E-1,1.237781420E-1
3.064591667E0,2.722247541E-1,2.800566256E-1,2.521803379E-1
3.074651667E0,5.835361406E-2,1.775134057E-1,2.777042389E-1
3.084711667E0,-1.220004484E-1,9.249171615E-2,1.683234125E-1
3.094771667E0,-2.447367460E-1,-3.271991387E-2,-1.880519651E-2
3.104831667E0,-3.237961233E-1,-1.409268081E-1,-1.760004014E-1
3.114891667E0,-2.902297378E-1,-2.100914270E-1,-2.359986007E-1
3.124951667E0,-2.169222385E-1,-2.351885289E-1,-2.756890059E-1
3.135011667E0,-1.328007281E-1,-2.206583470E-1,-2.970097065E-1
3.145071667E0,-1.641259156E-2,-1.887576729E-1,-2.811577618E-1
3.155131667E0,1.631302983E-1,-1.052971706E-1,-2.327909321E-1
3.165191667E0,3.234677613E-1,-2.504627593E-2,-2.077550888E-1
3.175251667E0,4.374754429E-1,8.119345456E-2,-2.363496721E-1
