ID,label,time,acc_x_min,acc_x_max,acc_x_avg,acc_x_std,acc_x_AUC,acc_x_pk,acc_x_cn,acc_x_pw,acc_y_min,acc_y_max,acc_y_avg,acc_y_std,acc_y_AUC,acc_y_pk,acc_y_cn,acc_y_pw,acc_z_min,acc_z_max,acc_z_avg,acc_z_std,acc_z_AUC,acc_z_pk,acc_z_cn,acc_z_pw,gyr_x_min,gyr_x_max,gyr_x_avg,gyr_x_std,gyr_x_AUC,gyr_x_pk,gyr_x_cn,gyr_x_pw,gyr_y_min,gyr_y_max,gyr_y_avg,gyr_y_std,gyr_y_AUC,gyr_y_pk,gyr_y_cn,gyr_y_pw,gyr_z_min,gyr_z_max,gyr_z_avg,gyr_z_std,gyr_z_AUC,gyr_z_pk,gyr_z_cn,gyr_z_pw
244,stairs_down,51.3000000000002,3.2655502392344498,5.76555023923445,4.197653223969013,0.766641494175033,0.4385607845937774,8.333333333333334,25.0,2044.0179956769896,1.9641148325358853,3.325358851674641,2.49749373433584,0.4287111575698225,0.2609321811992668,16.666666666666668,25.0,1181.46091274869,4.380382775119617,6.311004784688995,4.957735247208932,0.5262786774822057,0.5179723392606347,25.0,25.0,2310.506017581858,-0.526595744680851,2.025531914893617,0.22889045190786,0.5640660099541239,0.2742152938698125,0.6944444444444444,14.583333333333334,36560.171638835855,-2.4861702127659573,1.4361702127659577,-0.0993757692983999,1.1060426485311563,-0.1190541394564987,0.6944444444444444,6.25,61240.75448398357,-1.3617021276595744,2.40531914893617,0.5357745735888869,1.0447937362682582,0.6418685485569833,0.6944444444444444,2.7777777777777777,45833.08383048888
245,stairs_down,51.5000000000002,-1.770334928229665,1.763157894736842,0.6439963545226701,1.0253548750706911,0.0672832012187864,8.333333333333334,16.666666666666668,867.48717653466,8.0311004784689,10.480861244019138,10.004784688995215,0.5643649301987768,1.045276012283082,8.333333333333334,25.0,4181.1333894060845,13.332535885167465,22.39712918660287,18.796422875370244,2.771870264856937,1.963805375038682,8.333333333333334,16.666666666666668,7531.989594646261,-0.5127659574468085,2.025531914893617,0.363434148056972,0.6021496411815347,0.4354013060880559,1.3888888888888888,6.944444444444445,39167.64808541473,-4.108510638297872,1.4361702127659577,-0.614550729734482,1.4307528890950982,-0.7362439435432905,1.3888888888888888,3.4722222222222223,74612.56207168144,-1.3617021276595744,2.65,0.4660101986987867,1.148158629592905,0.5582894459658733,0.6944444444444444,4.166666666666667,60407.98536672456
246,stairs_down,51.7000000000002,-1.2607655502392343,0.5311004784688995,-0.0312143996354522,0.4688224883310659,-0.0032612059320621,8.333333333333334,25.0,490.529169330197,-2.2966507177033493,-0.1196172248803827,-1.5023923444976073,0.5466902895428052,-0.1569663643504963,8.333333333333334,16.666666666666668,704.8543710329061,5.315789473684211,6.906698564593301,6.384256094782411,0.4463663619582869,0.6670118307981623,8.333333333333334,25.0,2606.8773678472903,-1.351063829787234,2.025531914893617,0.180719184104097,0.6537626693290549,0.2165051611544133,0.6944444444444444,13.88888888888889,45140.49009117441,-2.4861702127659573,1.4361702127659577,-0.4123351503428873,1.136822118946024,-0.4939856751632611,1.3888888888888888,4.861111111111111,64528.05102079919,-1.751063829787234,2.40531914893617,0.3910585545982064,1.1275740366756437,0.4684958921424056,0.6944444444444444,4.861111111111111,58604.07940003147
248,stairs_down,52.10000000000021,3.30622009569378,5.117224880382775,3.7810435178856223,0.5549652995844517,0.3950343973910352,16.666666666666668,25.0,1804.354386122108,2.631578947368421,3.992822966507177,3.4102301207564367,0.4290435991226394,0.3562926991835083,8.333333333333334,25.0,1476.9401373033684,3.0239234449760763,7.100478468899522,4.232627022100706,1.2127374075520845,0.4422147635030588,8.333333333333334,25.0,2365.839708539093,-0.5127659574468085,2.025531914893617,0.218841216810269,0.5695856387190121,0.2621761112281441,0.6944444444444444,12.5,36307.205860112444,-2.4861702127659573,2.106382978723404,0.0652452962897837,1.2174344786882092,0.078165156941226,0.6944444444444444,8.333333333333334,66853.36197415674,-1.5765957446808512,2.40531914893617,0.4603921223843855,1.134856441200051,0.5515588792921847,0.6944444444444444,3.4722222222222223,56619.46784137653
249,stairs_down,52.30000000000021,0.4497607655502392,5.956937799043062,2.588174982911825,1.9151932530831823,0.2704063414982504,8.333333333333334,25.0,2125.2996772225656,3.382775119617225,16.055023923444978,10.165755297334243,4.620581391887637,1.062093837034921,8.333333333333334,16.666666666666668,5669.660888607336,8.538277511961722,26.7488038277512,17.897357028935975,6.655211969127004,1.8698731224261465,8.333333333333334,16.666666666666668,9480.305108580658,-0.7,2.545744680851064,0.380719184104097,0.7338319049316849,0.4561091215504533,1.3888888888888888,5.555555555555555,46589.691979540345,-4.860638297872341,1.4361702127659577,-0.5617372955864252,1.5027686085691772,-0.672972403623341,1.3888888888888888,4.166666666666667,84490.45491904815,-1.3617021276595744,2.40531914893617,0.4847019518199402,1.0966185477822994,0.5806825363387403,0.6944444444444444,3.4722222222222223,54690.91514885002
250,stairs_down,52.50000000000021,-4.05023923444976,0.1291866028708134,-2.014581909318751,1.4811046002641763,-0.2104787069437502,8.333333333333334,16.666666666666668,1498.105454617203,1.2105263157894737,7.791866028708134,4.378218272955115,2.2338765326213514,0.4574257897117285,8.333333333333334,25.0,2772.9485796133704,5.318181818181818,9.885167464114833,6.498519024834813,1.3156938750644942,0.6789497488633387,16.666666666666668,25.0,3290.950859165612,-0.5127659574468085,2.051063829787234,0.4870757868823633,0.6705685466780672,0.5835264377501581,1.3888888888888888,7.638888888888889,42714.16497173002,-3.608510638297872,1.4361702127659577,-0.406963249516441,1.1666572742625798,-0.4875500315989046,1.3888888888888888,6.944444444444445,73989.39851415859,-1.3617021276595744,2.40531914893617,0.6689379286091085,1.1300926157823423,0.8014008847693281,1.3888888888888888,2.7777777777777777,51107.201589446646
251,stairs_down,52.700000000000216,-0.0191387559808612,1.5119617224880382,0.7901572112098427,0.5078682267308157,0.0825537384846104,8.333333333333334,16.666666666666668,550.2971107067373,-0.9186602870813396,0.0191387559808612,-0.5843016632490317,0.2573182355291849,-0.0610464424290033,8.333333333333334,16.666666666666668,262.5463174587875,1.854066985645933,3.5239234449760763,2.6206425153793576,0.555458603791032,0.2737984717560522,8.333333333333334,25.0,1285.2077139710268,-1.754255319148936,2.025531914893617,0.1919817126780376,0.6792319503387142,0.2299978934063619,0.6944444444444444,11.805555555555555,50037.28915075586,-2.4861702127659573,2.2882978723404257,-0.1545806224723052,1.1526137896728696,-0.1851906467242467,0.6944444444444444,9.72222222222222,74387.30265079108,-1.3617021276595744,2.40531914893617,0.440416739933181,1.029313352506022,0.5276279755635138,0.6944444444444444,2.7777777777777777,45943.88486287999
252,stairs_down,52.90000000000022,6.746411483253588,9.490430622009567,7.805878332194122,1.030516906305181,0.8155395272441619,8.333333333333334,25.0,3561.340706233049,-0.9186602870813396,8.303827751196172,4.1763499658236505,2.9914420839332863,0.4363350710562022,8.333333333333334,16.666666666666668,3028.342219007567,14.220095693779903,17.282296650717704,16.419229892914107,0.8716495353462003,1.715441929110429,8.333333333333334,25.0,6999.977549039372,-1.4287234042553192,2.025531914893617,0.1397133813961666,0.6722298125855771,0.1673793975142193,0.6944444444444444,13.194444444444445,42958.78869187964,-2.4861702127659573,1.8138297872340423,-0.10778090381572,1.137636169937967,-0.1291236570465556,0.6944444444444444,5.555555555555555,64362.578039811466,-2.921276595744681,2.40531914893617,0.1775892386143836,1.2547564979605157,0.2127554244786179,0.6944444444444444,6.25,60611.07853412643
253,stairs_down,53.10000000000022,0.8397129186602871,2.421052631578948,1.3828890407837775,0.5097859299108328,0.1444809445594991,8.333333333333334,25.0,824.2597930891274,1.1555023923444976,2.995215311004785,2.425837320574163,0.5591022450338742,0.2534456902092408,8.333333333333334,16.666666666666668,1069.5445312040129,3.30622009569378,5.770334928229665,4.120414673046252,0.8233341299182586,0.4304910852436382,16.666666666666668,25.0,2047.3233354474287,-1.1372340425531915,2.025531914893617,0.0923773518551081,0.7262458972369803,0.1106698967769116,0.6944444444444444,13.194444444444445,43893.80199122781,-2.4861702127659573,1.4361702127659577,-0.2942500439599085,1.0563800221919633,-0.3525173793975142,0.6944444444444444,6.944444444444445,61546.427773337295,-2.868085106382978,2.40531914893617,0.0388781431334623,1.3975233676006538,0.0465767853381079,0.6944444444444444,6.944444444444445,68397.54356150542
254,stairs_down,53.30000000000023,-1.19377990430622,4.241626794258373,0.8336750968329916,2.0086008986587967,0.087100383251208,8.333333333333334,16.666666666666668,1684.8182487422305,6.437799043062201,11.866028708133973,9.889040783777627,1.7427983917619163,1.0331833654693043,8.333333333333334,25.0,4212.980147463279,12.825358851674642,14.787081339712918,14.010138983823191,0.5261795349437506,1.4637458639815275,8.333333333333334,25.0,5848.25393358545,-1.319148936170213,2.025531914893617,0.21654650958326,0.6373111761552223,0.2594270065304402,0.6944444444444444,7.638888888888889,42142.28988951363,-2.4861702127659573,1.4361702127659577,-0.2844469843502725,1.0845754264598313,-0.340773119865178,0.6944444444444444,5.555555555555555,62026.03943691976,-3.295744680851064,2.40531914893617,0.0547916300334095,1.4246806764582065,0.0656414577627973,0.6944444444444444,4.166666666666667,65317.31592265015
256,stairs_down,53.70000000000023,-0.4330143540669856,-0.1650717703349282,-0.3206829056111353,0.0911333891717068,-0.0350996215096765,7.6923076923076925,15.384615384615383,149.31901615681903,2.375598086124402,3.5311004784688995,2.9655284906481083,0.3526030265681338,0.3245852079316337,15.384615384615383,23.07692307692308,1515.909859670098,4.818181818181818,6.322966507177034,5.591670291431057,0.5219401658244078,0.6120236139874788,7.6923076923076925,23.07692307692308,2695.04646711547,-1.6691489361702128,1.3563829787234043,0.0164234218392825,0.7960780233424769,0.0196755845797346,0.6944444444444444,2.7777777777777777,30071.03674329228,-2.071276595744681,1.4361702127659577,-0.3540267276244065,1.0959998252408445,-0.4241310301242891,1.3888888888888888,3.4722222222222223,52341.958603713385,-2.404255319148936,2.40531914893617,-0.0041234394232459,1.4309626625419738,-0.0049399620813148,0.6944444444444444,2.7777777777777777,50402.69550433468
257,stairs_down,53.90000000000023,-0.3421052631578947,1.5454545454545454,0.2839712918660287,0.6463214763143611,0.0282558499369182,8.333333333333334,16.666666666666668,544.2746367518662,5.712918660287081,8.614832535885167,7.564234449760766,0.8493292240556173,0.7526601442548027,8.333333333333334,25.0,3054.16930014181,6.889952153110048,14.203349282296651,10.554665071770334,2.2285573458115078,1.0502154300268989,8.333333333333334,25.0,4692.377526306909,-1.745744680851064,1.3563829787234043,0.0013012132934763,0.8458263703146247,0.0015588792921845,0.6944444444444444,4.861111111111111,39841.92423795662,-2.071276595744681,1.4361702127659577,-0.0828820116054158,1.0635553540874203,-0.0992942911312407,0.6944444444444444,3.4722222222222223,42113.70803510441,-3.774468085106383,2.40531914893617,-0.0662124142781782,1.549988773285359,-0.0793237834421741,0.6944444444444444,3.4722222222222223,59947.558027703104
258,stairs_down,54.10000000000024,0.9952153110047848,1.894736842105263,1.4515835042150829,0.2622687445342976,0.1516579780523221,8.333333333333334,25.0,680.4524988929882,2.138755980861244,10.098086124401911,6.237069947596264,2.7524605953285493,0.6516341736294603,8.333333333333334,25.0,3613.064132750849,8.758373205741627,12.799043062200957,11.13488266119845,1.325529820318056,1.16334594967745,8.333333333333334,25.0,4732.128177632424,-1.6691489361702128,1.3563829787234043,0.2458326006681906,0.5409792570844201,0.2945123235727828,0.6944444444444444,4.861111111111111,28980.312825368797,-2.071276595744681,1.4361702127659577,-0.4049762616493758,1.1296536262255232,-0.4851695807878661,1.3888888888888888,3.4722222222222223,52655.85717640657,-2.876595744680851,2.40531914893617,0.1169773166871813,1.2784993602285646,0.1401411417737516,0.6944444444444444,5.555555555555555,57535.79983829862
259,stairs_down,54.30000000000024,0.6339712918660287,2.444976076555024,1.4831396673501935,0.5343671927453928,0.1549548906186769,8.333333333333334,25.0,835.6618741746914,1.1913875598086126,2.6985645933014357,1.8603326498063335,0.4701199564435542,0.1943631126663333,16.666666666666668,25.0,975.8837658256172,4.8086124401913874,6.473684210526316,5.329346092503987,0.5197310356765857,0.5567973529481777,16.666666666666668,25.0,2419.2166837675004,-1.6691489361702128,1.3563829787234043,0.2290662915421135,0.5506087198539659,0.2744259532336212,0.6944444444444444,7.638888888888889,31355.664076649336,-2.071276595744681,1.4361702127659577,-0.2135044839106734,1.029296944755452,-0.2557825995365494,0.6944444444444444,2.7777777777777777,45144.03432169416,-2.25,2.40531914893617,0.2413574819764374,1.130595125094385,0.2891510427638508,0.6944444444444444,3.4722222222222223,48689.95411861676
260,stairs_down,54.50000000000024,4.356459330143541,4.6913875598086126,4.541581225791752,0.0782747021476504,0.4744935609036159,8.333333333333334,25.0,1942.8798361357804,0.8492822966507177,1.3110047846889952,1.0159489633173844,0.1101526374915549,0.1061439215406222,16.666666666666668,25.0,471.9104445806632,4.854066985645933,6.368421052631579,5.591934381408065,0.4765549389564171,0.5842319502963651,8.333333333333334,25.0,2456.4923991939427,-1.6691489361702128,1.3563829787234043,0.2900562686829611,0.5335710231853897,0.3474931535706764,0.6944444444444444,6.944444444444445,30374.38186450525,-2.071276595744681,1.4361702127659577,-0.1889924388957271,1.011863866954936,-0.2264166842216136,0.6944444444444444,2.7777777777777777,40941.410675755375,-2.25,2.40531914893617,0.3510022859152453,1.0546538976066704,0.420507689066779,0.6944444444444444,2.7777777777777777,45248.43585214589
261,stairs_down,54.70000000000024,0.84688995215311,4.488038277511961,2.085668717247665,1.039095799461036,0.2179056868766216,16.666666666666668,25.0,1473.5509385425194,4.904306220095694,12.791866028708132,9.75028480291638,2.7359067239605626,1.0186864719464876,8.333333333333334,25.0,4689.517166716836,8.222488038277511,24.66267942583732,18.128389154704944,5.780734010220148,1.8940108072079789,8.333333333333334,25.0,9036.273511322395,-1.6691489361702128,1.4829787234042553,0.2388781431334622,0.6603529782186027,0.2861807457341479,0.6944444444444444,6.944444444444445,46975.736723418006,-2.976595744680851,1.4361702127659577,-0.2689643045542465,1.2283530132430611,-0.3222245628818201,0.6944444444444444,4.166666666666667,63506.57172778922,-2.25,2.40531914893617,0.3465887110954809,1.142528795668284,0.4152201390351801,0.6944444444444444,3.4722222222222223,51514.623956854346
262,stairs_down,54.90000000000025,-0.8444976076555024,0.9282296650717704,-0.0980861244019138,0.549858705233971,-0.010247804041991,8.333333333333334,16.666666666666668,442.9710983161791,-0.2822966507177033,6.626794258373206,2.9179767600820234,2.283330083300205,0.3048632435906591,8.333333333333334,16.666666666666668,2398.1424879906813,3.648325358851675,5.397129186602871,4.14935064935065,0.4709222414486673,0.4335142469470828,16.666666666666668,25.0,1930.435671444908,-1.6691489361702128,1.3563829787234043,0.3092315807983119,0.5722501325177779,0.3704655571940175,1.3888888888888888,4.166666666666667,32300.11440754558,-2.071276595744681,1.4361702127659577,-0.3043520309477756,1.0509457721150894,-0.3646197598483254,0.6944444444444444,4.166666666666667,52154.83434539408,-2.25,2.40531914893617,0.4961403200281344,1.0829191222521897,0.5943859279544977,0.6944444444444444,2.7777777777777777,52938.27059075659
263,stairs_down,55.10000000000025,-0.284688995215311,0.5095693779904307,0.2026657552973342,0.2654503011560803,0.0211740341355423,8.333333333333334,8.333333333333334,211.37011300815624,-0.2224880382775119,1.2870813397129186,0.3860788334472544,0.4244568135139018,0.0403365945392653,16.666666666666668,25.0,477.9932807802396,5.313397129186603,5.875598086124402,5.6002506265664165,0.1743981629721098,0.5851008117308196,8.333333333333334,25.0,2420.1930030260005,-2.279787234042553,1.3563829787234043,-0.0135484438192368,0.8713527065983809,-0.0162313039814618,0.6944444444444444,2.7777777777777777,33013.161374234536,-2.071276595744681,4.003191489361702,-0.1062335150342887,1.2549302693140698,-0.1272698546450389,0.6944444444444444,5.555555555555555,74274.83015188803,-2.2893617021276595,2.40531914893617,0.1331369790750835,1.2714620243267654,0.1595007373077731,0.6944444444444444,2.083333333333333,40945.22098339037
