"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.509242917E0,-2.235393673E-1,-2.655851245E-1,2.856121361E-1
1.519303917E0,-2.034823149E-1,-2.876129150E-1,3.390633762E-1
1.529364917E0,-1.860987842E-1,-3.614253104E-1,4.084224701E-1
1.539425917E0,-1.552902758E-1,-5.201100707E-1,4.745628834E-1
1.549486917E0,-8.351090550E-2,-6.935581565E-1,4.915758371E-1
1.559547917E0,5.061814189E-2,-8.383696675E-1,4.550119638E-1
1.569608917E0,2.515363097E-1,-8.893547654E-1,4.022269547E-1
1.579669917E0,4.657631516E-1,-8.267611265E-1,3.414360285E-1
1.589729917E0,6.354943514E-1,-7.120084167E-1,2.844468653E-1
1.599790917E0,7.427177429E-1,-5.316045880E-1,2.849342227E-1
1.609851917E0,7.940957546E-1,-3.304803371E-1,3.361731470E-1
1.619912917E0,7.756165862E-1,-1.256193370E-1,4.080905020E-1
1.629973917E0,6.620484591E-1,7.634951174E-2,4.869379401E-1
1.640034917E0,5.007823706E-1,2.623145878E-1,5.479328036E-1
1.650095917E0,3.564499617E-1,4.208308458E-1,6.046925187E-1
1.660156917E0,2.426336557E-1,5.820610523E-1,6.609672308E-1
1.670217917E0,1.184664369E-1,7.026628256E-1,6.994529963E-1
1.680278917E0,-2.020889334E-2,7.390029430E-1,6.962060332E-1
1.690338917E0,-1.494614184E-1,6.778964400E-1,6.719670296E-1
1.700399917E0,-2.581386566E-1,5.721958876E-1,6.509174109E-1
1.710460917E0,-3.379703462E-1,4.616527855E-1,6.392046213E-1
1.720521917E0,-3.820094466E-1,3.547287583E-1,6.287394762E-1
1.730582917E0,-4.497259259E-1,2.693778276E-1,5.953523517E-1
1.740643917E0,-5.350485444E-1,1.899053752E-1,5.477129221E-1
1.750704917E0,-6.226137877E-1,1.159503311E-1,4.988276660E-1
1.760765917E0,-7.318710685E-1,4.106836766E-2,4.516231418E-1
1.770826917E0,-8.669705391E-1,-5.480135232E-2,4.035796225E-1
1.780887917E0,-1.014385462E0,-1.438494772E-1,3.342258632E-1
1.790947917E0,-1.113931775E0,-2.325589806E-1,2.474546283E-1
1.801008917E0,-1.131758451E0,-3.092609644E-1,1.602014750E-1
1.811069917E0,-1.080561042E0,-3.806016445E-1,9.289772063E-2
1.821130917E0,-9.599518776E-1,-4.379320443E-1,4.493125901E-2
1.831191917E0,-7.821694016E-1,-5.108925700E-1,8.440385573E-3
1.841252917E0,-6.124442816E-1,-6.138210893E-1,-2.106850408E-2
1.851313917E0,-4.539718032E-1,-7.019764781E-1,-3.762716800E-2
1.861374917E0,-3.398020864E-1,-7.256160378E-1,-5.629885569E-2
1.871435917E0,-2.912744880E-1,-6.497271657E-1,-5.173224583E-2
1.881496917E0,-2.689335048E-1,-4.285902381E-1,-4.142794386E-2
1.891556917E0,-2.801813483E-1,-1.658025831E-1,-4.710671306E-2
1.901617917E0,-2.833175063E-1,2.082783282E-1,-7.712639868E-2
1.911678917E0,-2.710605562E-1,6.743156314E-1,-1.053813472E-1
1.921739917E0,-2.759232223E-1,1.031472921E0,-9.855646640E-2
1.931800917E0,-4.281828105E-1,9.734592438E-1,-1.186814234E-1
1.941861917E0,-6.641442180E-1,7.616119385E-1,-2.126587778E-1
1.951922917E0,-7.317101955E-1,5.180668235E-1,-1.964957714E-1
1.961983917E0,-7.203108072E-1,3.098669648E-1,-9.698862582E-2
1.972044917E0,-8.082694411E-1,1.345555931E-1,-1.847827248E-2
1.982105917E0,-9.542748332E-1,-5.135354772E-2,2.705299482E-2
1.992165917E0,-1.060837746E0,-2.026084512E-1,6.194861978E-2
2.002226917E0,-1.117890835E0,-3.123051226E-1,1.088253111E-1
2.012287917E0,-1.149759531E0,-3.524152637E-1,1.373451799E-1
2.022348917E0,-1.142646790E0,-3.718233407E-1,1.259612292E-1
2.032409917E0,-1.095348239E0,-3.713599443E-1,9.229114652E-2
2.042470917E0,-1.057934046E0,-4.556620419E-1,5.773077533E-2
2.052531917E0,-1.004915595E0,-5.332975984E-1,5.357291177E-2
2.062592917E0,-8.467049599E-1,-4.455770552E-1,6.516778469E-2
2.072653917E0,-7.176191211E-1,-3.722859919E-1,7.025027275E-2
2.082714917E0,-6.669764519E-1,-3.423624635E-1,9.829868376E-2
2.092774917E0,-6.370548010E-1,-3.190380037E-1,1.270517558E-1
2.102835917E0,-6.152797341E-1,-2.782676518E-1,1.427436471E-1
2.112896917E0,-6.000347137E-1,-2.271197885E-1,1.546096206E-1
2.122957917E0,-5.822131038E-1,-1.968732029E-1,1.737471074E-1
2.133018917E0,-5.650652647E-1,-1.846617311E-1,1.902420223E-1
2.143079917E0,-5.653411746E-1,-1.586405188E-1,1.949156076E-1
2.153140917E0,-5.922990441E-1,-1.286006719E-1,1.954091638E-1
2.163201917E0,-6.422982812E-1,-1.287327707E-1,1.986566186E-1
2.173262917E0,-6.933553815E-1,-1.640654206E-1,2.301458269E-1
2.183323917E0,-7.570576072E-1,-1.841395199E-1,2.784795463E-1
2.193383917E0,-8.212880492E-1,-1.676010042E-1,3.383383453E-1
2.203444917E0,-8.960410953E-1,-1.289406866E-1,3.850446045E-1
2.213505917E0,-9.806553125E-1,-1.016026065E-1,4.153268635E-1
2.223566917E0,-1.069275379E0,-1.118810773E-1,4.254069328E-1
2.233627917E0,-1.133502603E0,-1.221685112E-1,4.623881578E-1
2.243688917E0,-1.190001845E0,-1.316429824E-1,5.114396214E-1
2.253749917E0,-1.240656734E0,-1.487400979E-1,5.416337848E-1
2.263810917E0,-1.283486962E0,-1.881767213E-1,5.131618977E-1
2.273871917E0,-1.318080425E0,-2.139933258E-1,4.335310757E-1
2.283931917E0,-1.334103346E0,-2.049700022E-1,3.827264905E-1
2.293992917E0,-1.323409677E0,-1.575898975E-1,3.555130064E-1
2.304053917E0,-1.310910344E0,-6.522294134E-2,3.208567500E-1
2.314114917E0,-1.294982791E0,8.384943008E-2,2.558913827E-1
2.324175917E0,-1.296483755E0,2.487044334E-1,1.419402957E-1
2.334236917E0,-1.293570280E0,3.617791533E-1,8.500685915E-3
2.344297917E0,-1.256344914E0,4.129107893E-1,-1.114174575E-1
2.354358917E0,-1.211006403E0,4.340128899E-1,-1.806602478E-1
2.364419917E0,-1.162025094E0,4.333633482E-1,-1.833513677E-1
2.374480917E0,-1.122936010E0,3.959926367E-1,-1.486212313E-1
2.384540917E0,-1.083994985E0,3.039721847E-1,-1.126368642E-1
2.394601917E0,-1.014722347E0,1.797870696E-1,-5.140405148E-2
2.404662917E0,-8.631156087E-1,5.973257497E-2,3.290177509E-2
2.414723917E0,-6.883240938E-1,-8.286923915E-2,1.087060124E-1
2.424784917E0,-5.579205751E-1,-1.837356538E-1,1.574136317E-1
2.434845917E0,-4.474020302E-1,-2.332971841E-1,1.835499406E-1
2.444906917E0,-2.993729115E-1,-2.645405829E-1,1.820037067E-1
2.454967917E0,-1.297127455E-1,-2.693710625E-1,1.675420403E-1
2.465028917E0,4.509021342E-2,-2.307719886E-1,1.752396375E-1
2.475089917E0,2.032313943E-1,-2.267195880E-1,2.365808934E-1
2.485150417E0,2.681278288E-1,-2.602152228E-1,3.451744914E-1
2.495211417E0,2.027645409E-1,-3.329531848E-1,4.846339822E-1
2.505272417E0,2.207917348E-2,-3.971193731E-1,6.292012930E-1
2.515333417E0,-2.259748280E-1,-4.267607033E-1,7.652366161E-1
2.525394417E0,-4.677768350E-1,-4.031049013E-1,8.794284463E-1
2.535455417E0,-6.599324346E-1,-3.557808697E-1,9.297927022E-1
2.545516417E0,-7.737732530E-1,-3.031286001E-1,9.255028367E-1
2.555577417E0,-8.165342808E-1,-2.735283971E-1,8.948339820E-1
2.565638417E0,-8.133097291E-1,-2.834369540E-1,8.525379300E-1
2.575699417E0,-7.860354781E-1,-3.154670000E-1,8.069443107E-1
2.585759417E0,-7.337296605E-1,-3.361874521E-1,7.514522672E-1
2.595820417E0,-6.564657688E-1,-3.474546075E-1,6.894652247E-1
2.605881417E0,-5.590870380E-1,-3.548009396E-1,6.422936916E-1
2.615942417E0,-4.265092909E-1,-3.327504098E-1,5.749042630E-1
2.626003417E0,-2.372019291E-1,-2.618200481E-1,5.137810111E-1
