"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.085426042E0,-1.271156616E1,-2.772983551E0,5.360802155E0
1.095487042E0,-1.313937653E1,-2.555635529E0,5.594466248E0
1.105548042E0,-1.327379700E1,-2.367626495E0,5.225633240E0
1.115609042E0,-1.324326050E1,-2.417472839E0,4.578528900E0
1.125670042E0,-1.317979248E1,-2.421215057E0,3.920796661E0
1.135731042E0,-1.279599060E1,-2.148033142E0,3.244652710E0
1.145791042E0,-1.194396240E1,-1.593885498E0,2.893183594E0
1.155852042E0,-1.137349869E1,-1.221909027E0,2.656525726E0
1.165913042E0,-1.127635071E1,-1.070573730E0,2.448159027E0
1.175974042E0,-1.148845963E1,-1.059047699E0,2.277962952E0
1.186035042E0,-1.151375702E1,-1.037941589E0,2.208806763E0
1.196096042E0,-1.149040558E1,-1.010997620E0,2.243833923E0
1.206157042E0,-1.153037247E1,-1.109193420E0,2.641556854E0
1.216218042E0,-1.131347351E1,-1.100361786E0,2.812201996E0
1.226279042E0,-1.102696930E1,-9.809101868E-1,2.538121948E0
1.236340042E0,-1.072669373E1,-8.825646973E-1,2.088007965E0
1.246400042E0,-1.028092072E1,-8.334667969E-1,1.566043396E0
1.256461042E0,-9.930798798E0,-8.589138794E-1,1.073118439E0
1.266522042E0,-9.783954163E0,-9.695338440E-1,1.007255402E0
1.276583042E0,-9.374705200E0,-1.067879333E0,1.133742371E0
1.286644042E0,-8.823401642E0,-1.065634003E0,1.204994202E0
1.296705042E0,-8.612340546E0,-1.242416382E0,1.318158875E0
1.306766042E0,-8.634644165E0,-1.463506622E0,1.418600006E0
1.316827042E0,-8.681796112E0,-1.458716583E0,1.666634216E0
1.326888042E0,-8.591533813E0,-1.254092102E0,1.852248230E0
1.336949042E0,-8.510552216E0,-1.204694824E0,1.792821808E0
1.347009042E0,-8.632847900E0,-1.291963348E0,1.601220245E0
1.357070042E0,-8.893306274E0,-1.508413239E0,1.276695099E0
1.367131042E0,-8.589138794E0,-1.404379578E0,1.115929413E0
1.377192042E0,-8.076604614E0,-1.156794434E0,1.492845612E0
1.387253042E0,-7.953410797E0,-1.188678131E0,1.765129395E0
1.397314042E0,-7.945776672E0,-1.259630585E0,2.038011932E0
1.407375042E0,-8.014184418E0,-1.185085602E0,2.058219910E0
1.417436042E0,-8.308023376E0,-1.159039764E0,1.859732666E0
1.427497042E0,-8.549620972E0,-1.302441559E0,1.672771454E0
1.437558042E0,-8.599167938E0,-1.579814758E0,1.422940979E0
