"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.394516792E0,3.416781723E-1,-1.268949270E0,-1.515546679E0
1.404578792E0,2.335665971E-1,-1.242417216E0,-1.362563133E0
1.414639792E0,1.552531421E-1,-1.172273874E0,-1.216518641E0
1.424700792E0,1.126041561E-1,-1.084330559E0,-1.081452727E0
1.434762792E0,1.045142710E-1,-9.652587771E-1,-9.671777487E-1
1.444823792E0,1.213735044E-1,-8.420119286E-1,-8.687459230E-1
1.454885792E0,1.530898958E-1,-7.218849659E-1,-7.723909020E-1
1.464946792E0,2.092389017E-1,-6.468210220E-1,-6.590562463E-1
1.475007792E0,2.694124877E-1,-5.979784131E-1,-5.282819867E-1
1.485069792E0,3.159246147E-1,-5.596169233E-1,-3.716067374E-1
1.495130792E0,3.340884447E-1,-5.248317719E-1,-2.158267498E-1
1.505192792E0,3.319443464E-1,-4.960177839E-1,-6.852438301E-2
1.515253792E0,3.149981201E-1,-4.454619288E-1,5.683114007E-2
1.525314792E0,2.914717197E-1,-3.357554674E-1,1.813616157E-1
1.535376792E0,2.623316646E-1,-1.949890256E-1,3.284229636E-1
1.545437792E0,1.939286292E-1,-4.321286082E-2,4.905990660E-1
1.555498792E0,8.136666566E-2,1.467530727E-1,6.446022391E-1
1.565560792E0,-5.876535550E-2,3.950974047E-1,7.713693976E-1
1.575621792E0,-2.219659984E-1,6.386046410E-1,8.569250107E-1
1.585683792E0,-4.345842898E-1,8.415927887E-1,9.487186074E-1
1.595744792E0,-7.169296741E-1,1.013864636E0,1.122880340E0
1.605805792E0,-1.018188119E0,1.166556120E0,1.384683728E0
1.615867792E0,-1.244692087E0,1.260818124E0,1.706887841E0
1.625928792E0,-1.338455319E0,1.246890903E0,2.010750532E0
1.635989792E0,-1.296413302E0,1.092170596E0,2.249938250E0
1.646051792E0,-1.174032807E0,8.754832149E-1,2.404436111E0
1.656112792E0,-9.833301902E-1,6.359814405E-1,2.450832605E0
1.666174792E0,-7.376831770E-1,3.703123033E-1,2.413645506E0
1.676235792E0,-4.802963734E-1,6.325463206E-2,2.315815926E0
1.686296792E0,-2.448233664E-1,-1.920621991E-1,2.200314760E0
1.696358792E0,-4.042921215E-2,-3.312688470E-1,2.095165730E0
1.706419792E0,1.071519628E-1,-4.395295978E-1,2.008738279E0
1.716480792E0,1.840803176E-1,-5.124769807E-1,1.910790086E0
1.726542792E0,1.745272726E-1,-5.085173249E-1,1.780512929E0
1.736603792E0,5.763872713E-2,-3.718647063E-1,1.641881227E0
1.746665792E0,-1.843677610E-1,-1.050365493E-1,1.506649256E0
1.756726792E0,-5.298088193E-1,2.758141160E-1,1.360054970E0
1.766787792E0,-9.216117263E-1,7.192356586E-1,1.213450789E0
1.776849792E0,-1.270680785E0,1.182902694E0,1.074454546E0
1.786910792E0,-1.507544994E0,1.584049106E0,9.453258514E-1
1.796972792E0,-1.584008336E0,1.842202067E0,8.154495955E-1
1.807033792E0,-1.545722723E0,1.923525453E0,7.048036456E-1
1.817094792E0,-1.426665902E0,1.881925702E0,6.220808029E-1
1.827156792E0,-1.238906384E0,1.757409930E0,5.324529409E-1
1.837217792E0,-9.921652675E-1,1.568881035E0,4.512632489E-1
1.847278792E0,-7.240728140E-1,1.361134529E0,3.981845975E-1
1.857340792E0,-4.633328319E-1,1.148708820E0,3.747911155E-1
1.867401792E0,-2.579266727E-1,9.092595577E-1,3.839934170E-1
1.877463792E0,-1.403635442E-1,7.029383183E-1,4.026376903E-1
1.887524792E0,-6.187327951E-2,5.851755738E-1,3.940184712E-1
1.897585792E0,-4.160315916E-2,5.111479759E-1,3.601742387E-1
1.907647792E0,-7.702373713E-2,4.583450258E-1,3.012727201E-1
1.917708792E0,-1.719726175E-1,4.434939027E-1,2.162643373E-1
1.927770792E0,-3.273422122E-1,4.626764655E-1,1.335899830E-1
1.937831792E0,-5.064888000E-1,5.413209796E-1,6.460239738E-2
1.947892792E0,-6.980898976E-1,6.388126612E-1,3.118318692E-2
1.957954792E0,-8.834565878E-1,7.224166989E-1,4.790783674E-2
1.968015792E0,-1.019849896E0,8.051831722E-1,1.405570656E-1
1.978076792E0,-1.091231346E0,8.865547180E-1,2.311703265E-1
1.988138792E0,-1.098665357E0,9.394217730E-1,3.096095026E-1
1.998199792E0,-1.034943104E0,9.254928827E-1,3.738851547E-1
2.008261792E0,-9.198420644E-1,8.560584784E-1,3.994857073E-1
2.018322792E0,-7.740651369E-1,7.263920903E-1,4.345014989E-1
2.028383792E0,-6.267887354E-1,5.415636301E-1,5.465734601E-1
2.038445792E0,-5.064370632E-1,3.161464632E-1,7.441419363E-1
2.048506792E0,-4.023613632E-1,1.004665121E-1,1.005205035E0
2.058567792E0,-3.292863667E-1,-9.915099293E-2,1.253479481E0
2.068629792E0,-2.586462498E-1,-2.938214839E-1,1.416628718E0
2.078690792E0,-1.733792722E-1,-4.794259667E-1,1.460754037E0
2.088752792E0,-1.100956351E-1,-6.224231124E-1,1.411737204E0
2.098813792E0,-1.216183305E-1,-6.947947741E-1,1.284230351E0
2.108874792E0,-2.133759558E-1,-6.533859968E-1,1.094996929E0
2.118936792E0,-3.750564456E-1,-4.890503287E-1,8.892868757E-1
2.128997792E0,-5.717505813E-1,-2.221441418E-1,6.778091192E-1
2.139059792E0,-7.183182240E-1,1.042592674E-1,4.575824440E-1
2.149120792E0,-7.869012356E-1,4.171442986E-1,2.370150536E-1
2.159181792E0,-7.735572457E-1,6.698167920E-1,1.925689355E-2
2.169243792E0,-6.755251884E-1,8.124461770E-1,-1.662843674E-1
2.179304792E0,-5.020298362E-1,8.377691507E-1,-3.355580866E-1
2.189366792E0,-2.655797899E-1,8.491973877E-1,-4.949297607E-1
2.199427792E0,6.710043177E-3,7.916006446E-1,-6.608260274E-1
2.209488792E0,2.812092304E-1,6.571807265E-1,-8.494918942E-1
2.219550792E0,5.745324492E-1,4.890827835E-1,-1.073907018E0
2.229611792E0,8.346570134E-1,2.520625293E-1,-1.249080062E0
2.239672792E0,1.065333009E0,-9.911011904E-3,-1.340745807E0
2.249734792E0,1.288497448E0,-2.537928224E-1,-1.360462427E0
2.259795792E0,1.516499400E0,-4.494765699E-1,-1.336957335E0
2.269857792E0,1.720717549E0,-6.069144607E-1,-1.308857799E0
2.279918792E0,1.864568710E0,-6.749478579E-1,-1.294689178E0
2.289979792E0,1.922408938E0,-6.738367677E-1,-1.302848339E0
2.300041792E0,1.893545151E0,-6.484877467E-1,-1.315063953E0
2.310102792E0,1.768848658E0,-6.686190367E-1,-1.300964713E0
2.320163792E0,1.568954110E0,-6.662402749E-1,-1.243334770E0
2.330225792E0,1.339579701E0,-6.349265575E-1,-1.151115179E0
2.340286792E0,1.133913040E0,-6.002734900E-1,-1.057407022E0
2.350348792E0,9.888726473E-1,-5.744353533E-1,-9.581802487E-1
2.360409792E0,9.027068615E-1,-5.426681042E-1,-8.754265308E-1
2.370470792E0,8.659701943E-1,-5.443606377E-1,-8.250679970E-1
2.380532792E0,8.550903797E-1,-5.282372832E-1,-8.038585782E-1
2.390593792E0,8.212938309E-1,-4.376386404E-1,-7.807009220E-1
2.400655792E0,6.807873249E-1,-3.017092943E-1,-7.620283961E-1
2.410716792E0,4.570980072E-1,-8.810707182E-2,-7.121517062E-1
2.420777792E0,2.084943056E-1,1.699303389E-1,-6.351975203E-1
2.430839792E0,-3.756077588E-2,3.774003088E-1,-5.620386004E-1
2.440900792E0,-2.324831188E-1,4.899846613E-1,-5.324674249E-1
2.450962792E0,-3.145278692E-1,4.897292852E-1,-5.717824101E-1
2.461023792E0,-2.725409865E-1,3.810642958E-1,-6.825142503E-1
2.471084792E0,-1.106673703E-1,1.736337841E-1,-8.618485928E-1
2.481146792E0,1.376430988E-1,-1.077089384E-1,-1.059267402E0
2.491207792E0,3.662728369E-1,-4.356208146E-1,-1.213895798E0
2.501268792E0,4.991043806E-1,-7.197814584E-1,-1.280878782E0
2.511330792E0,5.367918015E-1,-8.871542215E-1,-1.260795474E0
2.521391792E0,5.092586875E-1,-9.849342704E-1,-1.187558293E0
2.531453792E0,4.401104450E-1,-1.062059522E0,-1.090796232E0
2.541514792E0,3.662290275E-1,-1.146321654E0,-9.958704710E-1
2.551575792E0,3.148900270E-1,-1.207140326E0,-9.008517861E-1
2.561637792E0,3.045753241E-1,-1.213869095E0,-8.000397086E-1
2.571698792E0,3.256739676E-1,-1.212432861E0,-6.925611496E-1
2.581759792E0,4.028566182E-1,-1.215027571E0,-5.953738689E-1
2.591821792E0,5.203611851E-1,-1.247155547E0,-5.170500875E-1
2.601882792E0,6.393136978E-1,-1.303841710E0,-4.542529881E-1
2.611944625E0,7.330762744E-1,-1.348115683E0,-4.150568843E-1
2.622005625E0,7.891997695E-1,-1.354080319E0,-4.001056254E-1
2.632066625E0,7.746546865E-1,-1.345362782E0,-3.785186708E-1
2.642128625E0,6.789446473E-1,-1.308695912E0,-3.431428373E-1
2.652189625E0,5.220639706E-1,-1.187233806E0,-2.645669580E-1
2.662251625E0,3.522155583E-1,-9.269204140E-1,-1.576085687E-1
2.672312625E0,1.852274090E-1,-5.537637472E-1,-4.306171462E-2
2.682373625E0,4.787913337E-2,-2.040928602E-1,7.189682871E-2
2.692435625E0,-4.214982688E-2,7.698675245E-2,1.879552603E-1
2.702496625E0,-1.438756436E-1,2.854693830E-1,2.691766024E-1
2.712557625E0,-2.573087811E-1,4.366779923E-1,3.334655464E-1
2.722619625E0,-3.709290922E-1,5.185683370E-1,4.201325476E-1
2.732680625E0,-4.944683015E-1,5.470816493E-1,5.332568288E-1
2.742742625E0,-6.154794693E-1,5.322952271E-1,6.515531540E-1
2.752803625E0,-7.055633068E-1,4.759708047E-1,7.450627685E-1
2.762864625E0,-7.407205105E-1,3.686304986E-1,7.798649669E-1
2.772926625E0,-7.414833903E-1,2.798044980E-1,7.735744119E-1
2.782987625E0,-7.238801718E-1,2.491800189E-1,7.562457323E-1
2.793049625E0,-6.776980162E-1,2.704451382E-1,7.262064815E-1
2.803110625E0,-5.824590921E-1,3.034579456E-1,7.112549543E-1
2.813171625E0,-4.437749982E-1,3.140155673E-1,7.301498055E-1
2.823233625E0,-2.499530911E-1,3.144305050E-1,7.634339929E-1
2.833294625E0,-1.812895946E-2,2.871893644E-1,8.176865578E-1
2.843356625E0,1.965284944E-1,2.447796017E-1,8.800876141E-1
2.853417625E0,3.127581775E-1,2.071761489E-1,8.947206736E-1
2.863478625E0,3.177316487E-1,1.987118274E-1,8.507822156E-1
2.873540625E0,2.237140387E-1,2.426443100E-1,7.825179100E-1
2.883601625E0,6.300371885E-2,3.375481665E-1,7.057062387E-1
2.893663625E0,-1.390604526E-1,4.640374780E-1,6.377497315E-1
2.903724625E0,-3.612285256E-1,5.877711773E-1,5.826829672E-1
2.913785625E0,-5.634530187E-1,7.301261425E-1,5.395084620E-1
2.923847625E0,-7.139644623E-1,8.619965911E-1,5.020961165E-1
2.933908625E0,-8.139536381E-1,9.539293051E-1,4.661734104E-1
2.943969625E0,-8.609528542E-1,1.003326178E0,4.425911307E-1
2.954031625E0,-8.742734194E-1,1.022707582E0,4.264680743E-1
2.964092625E0,-8.607264161E-1,1.022031426E0,4.114752710E-1
2.974154625E0,-8.180122972E-1,1.007674217E0,4.101317227E-1
2.984215625E0,-7.239366770E-1,9.932050705E-1,4.167728424E-1
2.994276625E0,-6.140508652E-1,9.498826861E-1,4.249575734E-1
3.004338625E0,-5.182369947E-1,8.944125175E-1,4.059931934E-1
3.014399625E0,-4.609505832E-1,8.569934964E-1,3.720430434E-1
3.024461625E0,-4.329804778E-1,8.435578346E-1,3.473880291E-1
3.034522625E0,-4.644043744E-1,8.393274546E-1,3.603913486E-1
3.044583625E0,-5.497903824E-1,8.394544721E-1,3.981744051E-1
3.054645625E0,-6.425999999E-1,7.892159820E-1,4.502418637E-1
3.064706625E0,-7.236005664E-1,6.788399220E-1,5.274199843E-1
3.074768625E0,-7.850894928E-1,5.377613902E-1,6.657829285E-1
3.084829625E0,-8.278313875E-1,3.961605728E-1,8.636690974E-1
3.094890625E0,-8.809638023E-1,2.355595827E-1,1.097357154E0
3.104952625E0,-9.200003743E-1,6.601236761E-2,1.295898438E0
3.115013625E0,-9.567869902E-1,-7.107751817E-2,1.385481119E0
3.125074625E0,-9.090359807E-1,-9.431120008E-2,1.295993805E0
3.135136625E0,-7.737210393E-1,-2.910314128E-2,1.045978427E0
3.145197625E0,-6.034573913E-1,9.548645467E-2,6.924323440E-1
3.155259625E0,-4.689832032E-1,2.621523738E-1,3.311479688E-1
3.165320625E0,-3.915004134E-1,4.526804984E-1,3.221371025E-2
3.175381625E0,-3.427053988E-1,6.669032574E-1,-1.321572512E-1
3.185443625E0,-2.941197753E-1,8.288916349E-1,-1.368782371E-1
3.195504625E0,-2.577745318E-1,8.809017539E-1,-2.984538302E-2
3.205566625E0,-2.360047996E-1,8.030508757E-1,1.326761544E-1
3.215627625E0,-2.506673634E-1,6.424329877E-1,2.803494930E-1
3.225688625E0,-3.014551699E-1,4.526843429E-1,3.466970921E-1
3.235750625E0,-3.647710681E-1,3.112556636E-1,3.398980200E-1
3.245811625E0,-3.809857070E-1,2.605964839E-1,3.127646744E-1
3.255872625E0,-3.085969985E-1,2.503096461E-1,2.743788064E-1
3.265934625E0,-1.739643514E-1,2.479610145E-1,2.588070333E-1
3.275995625E0,1.210915670E-2,3.025870025E-1,2.693868876E-1
3.286057625E0,2.561247647E-1,3.615262210E-1,2.951470912E-1
3.296118625E0,5.712941289E-1,3.442993462E-1,3.182059228E-1
3.306179625E0,9.680199027E-1,1.788991839E-1,3.211250007E-1
3.316241625E0,1.446646929E0,-1.812352687E-1,3.093758225E-1
3.326302625E0,1.961767316E0,-7.027426362E-1,2.843647599E-1
3.336364625E0,2.408721209E0,-1.274603605E0,2.363105118E-1
3.346425625E0,2.702918530E0,-1.777482152E0,1.644301862E-1
3.356486625E0,2.784462690E0,-2.134132862E0,7.055363804E-2
3.366548625E0,2.672690630E0,-2.305963755E0,-3.468729183E-2
3.376609625E0,2.437973499E0,-2.347427607E0,-1.146818399E-1
3.386671625E0,2.191308022E0,-2.347310305E0,-1.689048707E-1
3.396732625E0,1.994190335E0,-2.351461172E0,-2.207123041E-1
3.406793625E0,1.844306350E0,-2.362886667E0,-3.094110191E-1
3.416855625E0,1.721650004E0,-2.346016884E0,-4.248329103E-1
3.426916625E0,1.639306426E0,-2.293601274E0,-5.549363494E-1
3.436977625E0,1.622879028E0,-2.203144312E0,-6.804564595E-1
3.447039625E0,1.633241653E0,-2.047936201E0,-7.816227674E-1
3.457100625E0,1.562999368E0,-1.826897860E0,-8.549977541E-1
