"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.248626792E0,9.145232391E0,-5.422473907E0,2.069895630E0
1.258688792E0,8.342302094E0,-5.265001373E0,1.775607605E0
1.268749792E0,7.617958374E0,-5.191354523E0,1.499282227E0
1.278810792E0,7.007228394E0,-5.235961761E0,1.229692841E0
1.288872792E0,6.469845886E0,-5.201533356E0,1.079555054E0
1.298933792E0,6.402935028E0,-4.851860504E0,9.777667236E-1
1.308995792E0,6.593638458E0,-4.377197571E0,9.539662170E-1
1.319056792E0,7.049739990E0,-3.961212616E0,8.503816223E-1
1.329117792E0,7.740703125E0,-3.472029877E0,6.526428223E-1
1.339179792E0,7.997868347E0,-3.036286011E0,5.324427795E-1
1.349240792E0,7.838150482E0,-2.858306122E0,2.689906311E-1
1.359302792E0,7.440128174E0,-3.004701691E0,1.182540894E-2
1.369363792E0,6.957980804E0,-3.394640808E0,-3.323089600E-2
1.379424792E0,6.434070282E0,-3.653452606E0,7.574249268E-2
1.389486792E0,6.085744629E0,-3.794609070E0,1.769320679E-1
1.399547792E0,5.981860657E0,-3.951333160E0,3.998185730E-1
1.409608792E0,6.243815918E0,-3.987707520E0,7.738906860E-1
1.419670792E0,6.623127136E0,-4.086651764E0,1.121617584E0
1.429731792E0,7.063062286E0,-4.282145233E0,1.536105652E0
1.439793792E0,7.416627045E0,-4.384382629E0,1.953886871E0
1.449854792E0,7.730374603E0,-4.425846405E0,2.084565125E0
1.459915792E0,7.991132355E0,-4.567601624E0,2.176324310E0
1.469977792E0,8.215665436E0,-4.968018951E0,2.155816956E0
1.480038792E0,8.595874786E0,-5.604196014E0,2.047741699E0
1.490099792E0,8.818162537E0,-6.061045990E0,1.844015350E0
1.500161792E0,9.053622894E0,-6.405330048E0,1.550775146E0
1.510222792E0,9.256002045E0,-6.614145813E0,1.388961639E0
1.520284792E0,9.461973724E0,-6.644682312E0,1.378633118E0
1.530345792E0,9.461824036E0,-6.539451141E0,1.569935303E0
1.540406792E0,9.266480255E0,-6.580914917E0,1.624122620E0
1.550468792E0,9.248218231E0,-6.960525513E0,1.455872498E0
1.560529792E0,9.552086334E0,-7.620054016E0,1.256337433E0
1.570590792E0,9.846973114E0,-8.300089874E0,1.143023071E0
1.580652792E0,9.761351166E0,-8.546627197E0,8.475375366E-1
1.590713792E0,9.215436401E0,-8.688232727E0,2.650987244E-1
1.600775792E0,8.287815399E0,-9.014554138E0,-2.718347168E-1
1.610836792E0,7.195836182E0,-9.103618927E0,-4.269122314E-1
1.620897792E0,6.288123779E0,-8.521629181E0,-2.198927307E-1
1.630959792E0,5.645659790E0,-7.243886261E0,1.604663086E-1
1.641020792E0,5.635630646E0,-5.978118439E0,4.520599365E-1
1.651081792E0,6.346352692E0,-5.213658142E0,6.376739502E-1
1.661143792E0,7.441475372E0,-4.682562561E0,8.053253174E-1
1.671204792E0,8.660390625E0,-4.341721344E0,8.039781189E-1
1.681266792E0,9.876910858E0,-4.260440369E0,6.063890076E-1
1.691327792E0,1.081590820E1,-4.680317230E0,5.574407959E-1
1.701388792E0,1.130539032E1,-5.196443939E0,8.879534912E-1
1.711450792E0,1.139864639E1,-5.350024567E0,8.945397949E-1
1.721511792E0,1.143382324E1,-5.062622223E0,8.562194824E-1
1.731573792E0,1.155252640E1,-4.664300537E0,8.084687805E-1
1.741634792E0,1.160132492E1,-4.500690765E0,8.328680420E-1
