"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.261920750E0,8.056082129E-1,-2.112686336E-1,3.015498161E0
2.271981750E0,4.263764918E-1,4.104354084E-1,3.003849030E0
2.282041750E0,7.440785412E-3,1.016188145E0,2.967308998E0
2.292102750E0,-4.496551454E-1,1.616255760E0,2.895917892E0
2.302163750E0,-8.655273914E-1,2.145182371E0,2.790136337E0
2.312224750E0,-1.184787154E0,2.521549940E0,2.688606262E0
2.322284750E0,-1.411066890E0,2.776850462E0,2.577323914E0
2.332345750E0,-1.556727409E0,2.991775751E0,2.537075996E0
2.342406750E0,-1.686657786E0,3.002506495E0,2.442394495E0
2.352466750E0,-1.804739356E0,2.825875998E0,2.235922098E0
2.362527750E0,-1.862368345E0,2.546912432E0,1.936930656E0
2.372588750E0,-1.837264538E0,2.187736988E0,1.579516053E0
2.382648750E0,-1.784782171E0,1.806663752E0,1.243947268E0
2.392709750E0,-1.736339569E0,1.483639359E0,1.035814524E0
2.402770750E0,-1.717973948E0,1.231830120E0,9.816038609E-1
2.412830750E0,-1.736497283E0,9.946536422E-1,9.643396735E-1
2.422891750E0,-1.764551878E0,7.862230539E-1,8.457255363E-1
2.432952750E0,-1.745188832E0,5.096226335E-1,5.906549096E-1
2.443013750E0,-1.653139234E0,2.155655771E-1,2.707624435E-1
2.453073750E0,-1.517710567E0,8.823058568E-3,3.105982952E-2
2.463134750E0,-1.393405676E0,-1.111515909E-1,-1.550425142E-1
2.473195750E0,-1.287664771E0,-1.270506531E-1,-3.127368093E-1
2.483255750E0,-1.198206067E0,-3.876343369E-2,-4.498167932E-1
2.493316750E0,-1.134222746E0,1.696670055E-1,-5.746466517E-1
2.503377750E0,-1.131776929E0,4.775080085E-1,-6.684477925E-1
2.513437750E0,-1.231770158E0,8.106055856E-1,-7.214494944E-1
2.523498750E0,-1.420292735E0,1.036246419E0,-7.658614516E-1
2.533559750E0,-1.628152013E0,1.199671865E0,-7.947378159E-1
2.543619750E0,-1.873515725E0,1.416965127E0,-7.476626039E-1
2.553680750E0,-2.088286400E0,1.536926389E0,-6.670423150E-1
2.563741750E0,-2.182886124E0,1.627908230E0,-5.861278772E-1
2.573802750E0,-2.192078590E0,1.658200264E0,-4.522896707E-1
2.583862750E0,-2.182903290E0,1.638925791E0,-2.713641524E-1
2.593923750E0,-2.151450396E0,1.537207127E0,-5.640896037E-2
2.603984750E0,-2.106318474E0,1.347767234E0,1.193235517E-1
2.614044750E0,-2.039978504E0,1.209295630E0,2.161513120E-1
2.624105750E0,-1.913928270E0,1.223038316E0,2.222446501E-1
2.634166750E0,-1.763050675E0,1.365024209E0,1.492370069E-1
2.644226750E0,-1.650073886E0,1.601805329E0,1.077849045E-2
2.654287750E0,-1.597496748E0,1.846361756E0,-1.925099045E-1
2.664348750E0,-1.616809964E0,2.015661001E0,-4.271228909E-1
2.674408750E0,-1.718216181E0,2.059299231E0,-6.165087819E-1
2.684469750E0,-1.852712274E0,2.018292427E0,-7.415770292E-1
2.694530750E0,-1.962611318E0,1.973119974E0,-8.142991662E-1
2.704590750E0,-2.002612591E0,1.906760335E0,-8.788803816E-1
2.714651750E0,-1.977067947E0,1.815884948E0,-9.082089663E-1
2.724712750E0,-1.904361010E0,1.686734438E0,-8.909483552E-1
2.734773750E0,-1.796910763E0,1.608893275E0,-1.003067136E0
2.744834375E0,-1.677333355E0,1.501475573E0,-1.122264266E0
2.754895375E0,-1.587890029E0,1.356587529E0,-1.150499582E0
2.764956375E0,-1.459533334E0,1.384416819E0,-1.194228411E0
2.775016375E0,-1.295049548E0,1.470211864E0,-1.283261299E0
2.785077375E0,-1.135079622E0,1.543939471E0,-1.382731676E0
2.795138375E0,-1.001234770E0,1.593788862E0,-1.388798356E0
2.805198375E0,-8.979216218E-1,1.629769802E0,-1.312265754E0
2.815259375E0,-8.350324035E-1,1.677467585E0,-1.207477331E0
2.825320375E0,-8.230674267E-1,1.659731865E0,-1.097177625E0
2.835380375E0,-8.614142537E-1,1.563790679E0,-9.790424705E-1
2.845441375E0,-9.438512921E-1,1.422310233E0,-8.795074821E-1
2.855502375E0,-1.023795724E0,1.242086411E0,-7.980515361E-1
2.865563375E0,-1.066787004E0,1.041979194E0,-7.580235004E-1
2.875623375E0,-1.055930138E0,8.625556231E-1,-7.477037311E-1
